train_or_test,model_id,algorithm,run,file_id,project_name,G,precision,fn,accuracy,fp,balance,fpr,f1,fnr,MCC,tpr,tnr,tn,tp
test,model20,ibea,3,Eclipse_all,Eclipse,0.7309718038869798,0.3641776535634,2806.0,0.7686003731408345,10465.0,0.4386811070464548,0.2155465386912731,0.4746031117621442,0.31886363636363635,0.3709565191660216,0.6811363636363637,0.784453461308727,38086.0,5994.0
train,model20,ibea,3,Eclipse_all,Eclipse,0.7056201195519495,0.3854901635261891,3827.0,0.8739887117225283,7403.0,0.48010826345457736,0.0917939688522964,0.4526756993859051,0.4517766497461929,0.39151640592680115,0.5482233502538071,0.9082060311477036,73245.0,4644.0
test,model21,ibea,3,Eclipse_all,Eclipse,0.4814154430626212,0.18200671761231713,726.0,0.35462328468553295,36287.0,0.6131635763291844,0.747399641613973,0.3037565132333854,0.0825,0.14646721208403612,0.9175,0.25260035838602707,12264.0,8074.0
train,model21,ibea,3,Eclipse_all,Eclipse,0.5918463039911809,0.13621041879468845,470.0,0.42538628126437683,50739.0,0.56195339298122,0.6291414542208115,0.23808602758477035,0.055483414000708296,0.1951362158285021,0.9445165859992917,0.3708585457791886,29909.0,8001.0
test,model22,ibea,3,Eclipse_all,Eclipse,0.5577462155430777,0.19984416628964963,849.0,0.4301058394796952,31835.0,0.575656962794149,0.6557022512409632,0.32729592886839837,0.09647727272727273,0.1937708286302446,0.9035227272727273,0.3442977487590369,16716.0,7951.0
train,model22,ibea,3,Eclipse_all,Eclipse,0.7134291853447952,0.18453450280038042,1486.0,0.6369685476722136,30867.0,0.45881557041068866,0.3827373276460669,0.30157804978088637,0.17542202809585644,0.26216000535794487,0.8245779719041435,0.6172626723539332,49781.0,6985.0
test,model23,ibea,3,Eclipse_all,Eclipse,0.7280312367274996,0.3434292726461401,2643.0,0.7486704678209621,11771.0,0.43930937237059825,0.24244608761920455,0.46071535468422625,0.3003409090909091,0.3554825136218895,0.699659090909091,0.7575539123807955,36780.0,6157.0
train,model23,ibea,3,Eclipse_all,Eclipse,0.7138726475821349,0.36231884057971014,3646.0,0.8638000875234237,8492.0,0.4706923718732403,0.1052970935423073,0.44290435101890946,0.43040963286506906,0.38195570534852274,0.5695903671349309,0.8947029064576927,72156.0,4825.0
test,model24,ibea,3,Eclipse_all,Eclipse,0.7278873551827895,0.3421505018577053,2630.0,0.7472929853010409,11863.0,0.4393368157624829,0.2443410022450619,0.45988148921104605,0.2988636363636364,0.35459483909634504,0.7011363636363637,0.755658997754938,36688.0,6170.0
train,model24,ibea,3,Eclipse_all,Eclipse,0.7168077094715655,0.35063263993137467,3566.0,0.858054960221726,9084.0,0.4667838811506161,0.11263763515524254,0.43677649154051645,0.4209656475032464,0.37602749130285884,0.5790343524967536,0.8873623648447575,71564.0,4905.0
test,model25,ibea,3,Eclipse_all,Eclipse,0.2092052028492436,0.15844348945583783,62.0,0.1896741120468693,46411.0,0.6913568547866586,0.9559226380507095,0.27328027021532786,0.007045454545454546,0.06946067980172144,0.9929545454545454,0.04407736194929044,2140.0,8738.0
train,model25,ibea,3,Eclipse_all,Eclipse,0.49469896228327787,0.12038425151007932,200.0,0.31962881091574186,60434.0,0.6122610025317183,0.7493552226961611,0.2143412459832072,0.023609963404556723,0.1584522360619105,0.9763900365954433,0.2506447773038389,20214.0,8271.0
test,model26,ibea,3,Eclipse_all,Eclipse,0.607667350932391,0.21476377396854085,1195.0,0.49432442328817283,27806.0,0.5424925199013848,0.5727173487672756,0.344032028228269,0.13579545454545455,0.21615859161805162,0.8642045454545455,0.42728265123272435,20745.0,7605.0
train,model26,ibea,3,Eclipse_all,Eclipse,0.7176389126687958,0.18943181504295223,1613.0,0.6526217753789877,29345.0,0.4531428503774151,0.3638651919452435,0.3070242199041948,0.19041435485774996,0.266171113311796,0.8095856451422501,0.6361348080547564,51303.0,6858.0
test,model27,ibea,3,Eclipse_all,Eclipse,0.6715955713565505,0.24749320902780106,1420.0,0.5839828424962076,22439.0,0.494738966222372,0.4621737966262281,0.3821952924726171,0.16136363636363638,0.2715793891345786,0.8386363636363636,0.537826203373772,26112.0,7380.0
train,model27,ibea,3,Eclipse_all,Eclipse,0.7363301411738461,0.2592492816091954,2697.0,0.7846138309451408,16498.0,0.43499219057018473,0.20456799920642793,0.3756302247666135,0.3183803565104474,0.3231535781967056,0.6816196434895526,0.795432000793572,64150.0,5774.0
test,model28,ibea,3,Eclipse_all,Eclipse,0.5399377352640815,0.19574043908487515,749.0,0.41014106118463495,33080.0,0.5859355791022467,0.6813453893843587,0.3224850293404899,0.08511363636363636,0.18689318025936072,0.9148863636363637,0.31865461061564126,15471.0,8051.0
train,model28,ibea,3,Eclipse_all,Eclipse,0.6967938233741049,0.17130188504039373,1092.0,0.5871924056598481,35697.0,0.48011304844575525,0.44262721952187284,0.28630182163850465,0.1289104001888797,0.2514648845820428,0.8710895998111203,0.5573727804781272,44951.0,7379.0
test,model29,ibea,3,Eclipse_all,Eclipse,0.26211082859313206,0.16136338321018825,108.0,0.2104409687712507,45174.0,0.6821016094804369,0.9304442750921711,0.2774072064596432,0.012272727272727272,0.08641863611317684,0.9877272727272727,0.06955572490782888,3377.0,8692.0
train,model29,ibea,3,Eclipse_all,Eclipse,0.621684120624215,0.14326439453089534,581.0,0.4640424600814641,47183.0,0.5427039755320676,0.5850486062890586,0.2483318645348105,0.06858694369023728,0.20907159757072902,0.9314130563097627,0.41495139371094136,33465.0,7890.0
test,model3,ibea,3,Eclipse_all,Eclipse,0.41807829119834256,0.17565773093202755,334.0,0.30142456103642484,39730.0,0.63999784394494,0.8183147617968733,0.29707347884062035,0.037954545454545456,0.14143447164636286,0.9620454545454545,0.1816852382031266,8821.0,8466.0
train,model3,ibea,3,Eclipse_all,Eclipse,0.6456136935666327,0.15001453065969195,728.0,0.4995455514536743,43872.0,0.5247572054493964,0.5439936514234699,0.25773058615983757,0.08594026679258647,0.21984503543523617,0.9140597332074135,0.4560063485765301,36776.0,7743.0
test,model30,ibea,3,Eclipse_all,Eclipse,0.7309342052787776,0.363482159084025,2800.0,0.7679726595874528,10507.0,0.4386361796151665,0.21641160841177318,0.47417710514877304,0.3181818181818182,0.3704884977751627,0.6818181818181818,0.7835883915882268,38044.0,6000.0
train,model30,ibea,3,Eclipse_all,Eclipse,0.7069108801622599,0.3810339204174821,3798.0,0.8722045803925089,7591.0,0.4786056624389098,0.09412508679694474,0.4507354714251266,0.4483532050525322,0.3895145744924278,0.5516467949474678,0.9058749132030552,73057.0,4673.0
test,model31,ibea,3,Eclipse_all,Eclipse,0.7223513959717728,0.4018460643942147,3271.0,0.7994629561821067,8230.0,0.45195820098655837,0.16951247142180387,0.4901813023626934,0.37170454545454545,0.387213859879102,0.6282954545454545,0.8304875285781961,40321.0,5529.0
train,model31,ibea,3,Eclipse_all,Eclipse,0.6687900359540903,0.4844961240310077,4471.0,0.9020747539806326,4256.0,0.514991466703063,0.05277254240650729,0.4782686674239253,0.5278007319088656,0.42428773227813527,0.47219926809113444,0.9472274575934927,76392.0,4000.0
test,model32,ibea,3,Eclipse_all,Eclipse,0.5401967354493076,0.19583191479013667,747.0,0.41036773552335615,33069.0,0.585827638324249,0.6811188235051802,0.32262329233604425,0.08488636363636363,0.18722492336054816,0.9151136363636364,0.3188811764948199,15482.0,8053.0
train,model32,ibea,3,Eclipse_all,Eclipse,0.6964695138811039,0.17105780574125048,1076.0,0.5858122285932292,35836.0,0.4807023080834729,0.44435075885328834,0.28606243472206105,0.12702160311651517,0.25153423744646136,0.8729783968834848,0.5556492411467117,44812.0,7395.0
test,model33,ibea,3,Eclipse_all,Eclipse,0.6053732016981298,0.21446051167964406,1088.0,0.48848319994420325,28248.0,0.5453496288476625,0.5818211777306338,0.3445933869526363,0.12363636363636364,0.21951436621121292,0.8763636363636363,0.41817882226936626,20303.0,7712.0
train,model33,ibea,3,Eclipse_all,Eclipse,0.72942884062314,0.20893692531053396,1995.0,0.7024876850054421,24519.0,0.43850441380598026,0.304024898323579,0.32818121927735266,0.23550938496045332,0.28355536929739644,0.7644906150395467,0.695975101676421,56129.0,6476.0
test,model34,ibea,3,Eclipse_all,Eclipse,0.7293457448479522,0.36589271417133706,2859.0,0.7706230057017315,10296.0,0.4404389460085369,0.21206566291116558,0.47457762511483015,0.32488636363636364,0.37044066275345827,0.6751136363636364,0.7879343370888344,38255.0,5941.0
train,model34,ibea,3,Eclipse_all,Eclipse,0.6992198149566962,0.4047170657340149,3958.0,0.8811027951390837,6638.0,0.4870500105617812,0.08230830274774328,0.459993884415452,0.4672411757761775,0.39929707684081356,0.5327588242238225,0.9176916972522567,74010.0,4513.0
test,model35,ibea,3,Eclipse_all,Eclipse,0.7276715937086943,0.34090783740554853,2619.0,0.7459678122439016,11950.0,0.4394350282345456,0.2461329323803835,0.45902491552485986,0.29761363636363636,0.35365670456286924,0.7023863636363636,0.7538670676196165,36601.0,6181.0
train,model35,ibea,3,Eclipse_all,Eclipse,0.7171646548213076,0.34892469302292567,3555.0,0.857179725984358,9173.0,0.4662657332007403,0.1137411963098899,0.4358156028368795,0.41966709951599573,0.37509700533280466,0.5803329004840042,0.8862588036901101,71475.0,4916.0
test,model36,ibea,3,Eclipse_all,Eclipse,0.7292186671430315,0.3670878236095627,2873.0,0.7717215044201496,10219.0,0.44070652396822013,0.2104797017569154,0.47518640262968,0.3264772727272727,0.37106871441737704,0.6735227272727272,0.7895202982430846,38332.0,5927.0
train,model36,ibea,3,Eclipse_all,Eclipse,0.6986826925703692,0.40547353258912494,3967.0,0.881383318933112,6604.0,0.48754948553567445,0.08188671758754092,0.46008478471832065,0.4683036241293826,0.39938988348271764,0.5316963758706174,0.918113282412459,74044.0,4504.0
test,model37,ibea,3,Eclipse_all,Eclipse,0.7240361565121376,0.3849338310145911,3128.0,0.7874317797422887,9063.0,0.4480452604657659,0.18666968754505572,0.48200552368812405,0.35545454545454547,0.37768233548734587,0.6445454545454545,0.8133303124549442,39488.0,5672.0
train,model37,ibea,3,Eclipse_all,Eclipse,0.6821544251955588,0.45615367918385064,4268.0,0.8958807886084897,5011.0,0.5038121793915852,0.06213421287570677,0.47531806615776084,0.5038366190532405,0.4180921142240726,0.49616338094675955,0.9378657871242932,75637.0,4203.0
test,model38,ibea,3,Eclipse_all,Eclipse,0.5370712031025705,0.1945961692520574,784.0,0.407839444822235,33177.0,0.5869950734620174,0.6833432885007518,0.3206848958854239,0.0890909090909091,0.1823231903763003,0.9109090909090909,0.31665671149924823,15374.0,8016.0
train,model38,ibea,3,Eclipse_all,Eclipse,0.6627267364794109,0.1558521308388259,857.0,0.5276315937117786,41240.0,0.5105240975482315,0.5113580001983931,0.2656432621020497,0.10116869318852556,0.22834526735376495,0.8988313068114745,0.488641999801607,39408.0,7614.0
test,model39,ibea,3,Eclipse_all,Eclipse,0.6517679422795818,0.23552517629592973,1185.0,0.54836009834179,24717.0,0.5131284663735611,0.5090935305143045,0.3702713215987552,0.13465909090909092,0.2589052425294496,0.8653409090909091,0.49090646948569544,23834.0,7615.0
train,model39,ibea,3,Eclipse_all,Eclipse,0.7336749082687246,0.22431896085152445,2254.0,0.7334799537696788,21498.0,0.4339589005684482,0.2665658168832457,0.3436135522025092,0.26608428756935426,0.29610825756849324,0.7339157124306457,0.7334341831167543,59150.0,6217.0
test,model4,ibea,3,Eclipse_all,Eclipse,0.5947847942632823,0.21125242509161457,960.0,0.47286010706003384,29272.0,0.5534900029503611,0.6029124013923504,0.34152291339954693,0.10909090909090909,0.21720819992733617,0.8909090909090909,0.3970875986076497,19279.0,7840.0
train,model4,ibea,3,Eclipse_all,Eclipse,0.7262133604821823,0.20117643491707346,1836.0,0.68377113746788,26346.0,0.4427412708435181,0.32667890090268825,0.3201293061854675,0.2167394640538307,0.27734618915496284,0.7832605359461693,0.6733210990973117,54302.0,6635.0
test,model40,ibea,3,Eclipse_all,Eclipse,0.4529209541107599,0.17975977400642615,464.0,0.3286777911457516,38037.0,0.6265846036477314,0.7834442133014768,0.3021767893716129,0.05272727272727273,0.15008445352878946,0.9472727272727273,0.2165557866985232,10514.0,8336.0
train,model40,ibea,3,Eclipse_all,Eclipse,0.5898620607465553,0.13581502576620558,459.0,0.4228054623593173,50980.0,0.5632263339963415,0.632129749032834,0.2375227902702222,0.05418486601345768,0.1944840199214333,0.9458151339865423,0.36787025096716597,29668.0,8012.0
